Wavelength (nm),Spectral photon flux (1/[s m2 nm])
677.90344,4.765022093244107e+16
678.32086,4.751924185689194e+16
678.73822,4.745086218778878e+16
679.15558,4.754296562050577e+16
679.57294,4.751040965979579e+16
679.9903,4.752056042410729e+16
680.40759,4.735472809522735e+16
680.82495,4.725330821577001e+16
681.24225,4.7193538923079656e+16
681.65948,4.708719660592389e+16
682.07678,4.716077508175092e+16
682.49402,4.723470089672587e+16
682.91125,4.717433897379834e+16
683.32849,4.711717604652668e+16
683.74573,4.713730979134431e+16
684.1629,4.7021519785359464e+16
684.58008,4.689486360050257e+16
684.99725,4.691436748722308e+16
685.41437,4.688780696414635e+16
685.83154,4.687562001944467e+16
686.24866,4.676693963266203e+16
686.66577,4.669873357521206e+16
687.08289,4.657914977406734e+16
687.49994,4.652882448958371e+16
687.91699,4.643582224416862e+16
688.33405,4.631386718371714e+16
688.7511,4.6164957913581896e+16
689.16809,4.616877632785801e+16
689.58508,4.595513895022578e+16
690.00208,4.581740773241188e+16
690.41907,4.568168557227714e+16
690.836,4.554682211283097e+16
691.25299,4.544594148137338e+16
691.66992,4.530103822132452e+16
692.08679,4.522030229816218e+16
692.50372,4.4874563546967384e+16
692.92059,4.4755267982614824e+16
693.33746,4.470739229240852e+16
693.75433,4.449607650022728e+16
694.17114,4.454916132755128e+16
694.58801,4.441333981705066e+16
695.00482,4.423262883094094e+16
695.42157,4.414761626541481e+16
695.83838,4.398113652259312e+16
696.25513,4.378579962876552e+16
696.67188,4.375007100859752e+16
697.08862,4.360921698652292e+16
697.50531,4.340479639488989e+16
697.92206,4.332916212705082e+16
698.33875,4.333200312084067e+16
698.75537,4.312944401248203e+16
699.17206,4.3005002848627304e+16
699.58868,4.2909196516918056e+16
700.00531,4.269572183740847e+16
700.42194,4.256133194496455e+16
700.8385,4.251706162379923e+16
701.25513,4.237552679048713e+16
701.67169,4.218992329090213e+16
702.0882,4.197337736730368e+16
702.50476,4.188722703672795e+16
702.92126,4.172719171697997e+16
703.33777,4.1573084835217656e+16
703.75427,4.140208002575883e+16
704.17072,4.12519768591623e+16
704.58716,4.112315313508717e+16
705.0036,4.094631076471736e+16
705.42004,4.077747551478464e+16
705.83643,4.0516069125220184e+16
706.25281,4.040680570135465e+16
706.66919,4.030737073899894e+16
707.08557,4.011849904607345e+16
707.50189,4.0013997569764456e+16
707.91821,3.979742362642468e+16
708.33453,3.963560999212741e+16
708.75085,3.9485901580813416e+16
709.16711,3.938436623879264e+16
709.58337,3.922642144468605e+16
709.99963,3.905249602566322e+16
710.41589,3.893322717699231e+16
710.83209,3.877631676538302e+16
711.24829,3.869017089871564e+16
711.66449,3.851233499146728e+16
712.08063,3.832626819126244e+16
712.49677,3.831071357974173e+16
712.9129,3.8065769832003064e+16
713.32904,3.803661888570415e+16
713.74512,3.784134499630186e+16
714.16125,3.76522209160698e+16
714.57727,3.75215136255292e+16
714.99335,3.732979443357346e+16
715.40936,3.7074285552597096e+16
715.82538,3.695994527992897e+16
716.24139,3.6794682221853816e+16
716.65741,3.654712849212643e+16
717.07336,3.643275836140062e+16
717.48932,3.6334284650404296e+16
717.90527,3.615512772309016e+16
718.32117,3.593399111884633e+16
718.73712,3.5739282891836984e+16
719.15302,3.564674696151904e+16
719.56885,3.559638368803225e+16
719.98474,3.540512188755181e+16
720.40057,3.52307393802599e+16
720.81641,3.5201765750439704e+16
721.23218,3.5003218154685932e+16
721.64801,3.4800812228300308e+16
722.06378,3.4644263624854684e+16
722.47949,3.4559951675850924e+16
722.89526,3.4419010387649064e+16
723.31097,3.430398657609008e+16
723.72668,3.4199919697912572e+16
724.1424,3.4075385388924908e+16
724.55804,3.396425829226674e+16
724.97369,3.374010736689533e+16
725.38934,3.359708389677497e+16
725.80499,3.3426264152784196e+16
726.22058,3.337492861450657e+16
726.63617,3.323989154710073e+16
727.05176,3.303374608280127e+16
727.46729,3.2920723784475348e+16
727.88281,3.2742921102659364e+16
728.29834,3.264960708481827e+16
728.71387,3.243292532281346e+16
729.12933,3.237646300104767e+16
729.5448,3.214138683181671e+16
729.96027,3.1966237485731716e+16
730.37567,3.187308072079965e+16
730.79114,3.168335794638861e+16
731.20648,3.1483521796393532e+16
731.62189,3.1260684140110396e+16
732.03723,3.1047231897619756e+16
732.45264,3.0873204399676212e+16
732.86792,3.066476580515125e+16
733.28326,3.0549633424700188e+16
733.69855,3.0340778093778788e+16
734.11383,3.0125412668302576e+16
734.52911,2.984631832125468e+16
734.94434,2.9654334873136304e+16
735.35956,2.944279451195594e+16
735.77478,2.931815985868605e+16
736.18994,2.9011385845674564e+16
736.60516,2.8892705758840864e+16
737.02032,2.866350033789733e+16
737.43542,2.8384278018702572e+16
737.85059,2.823615457044019e+16
738.26569,2.799197099647228e+16
738.68079,2.7808692688898664e+16
739.09583,2.7645650455576716e+16
739.51086,2.7508978880514744e+16
739.9259,2.74408076743554e+16
740.34094,2.7368432187919464e+16
740.75592,2.722776125648917e+16
741.1709,2.7166213561243304e+16
741.58588,2.7106362163371336e+16
742.00079,2.7074658520939256e+16
742.41577,2.7016522651267256e+16
742.83069,2.6923739552335656e+16
743.24554,2.687685255713756e+16
743.6604,2.678472472746805e+16
744.07526,2.6678825933361224e+16
744.49011,2.6646253340902028e+16
744.90497,2.648770014021912e+16
745.31976,2.640013646430959e+16
745.7345,2.63577314098487e+16
746.14929,2.6189054608072124e+16
746.56403,2.6134762425543396e+16
746.97876,2.5969445775993504e+16
747.39349,2.5834029317847764e+16
747.80817,2.5738314024116304e+16
748.22284,2.554998702386772e+16
748.63751,2.54146569175451e+16
