Wavelength (nm),Spectral photon flux (1/[s m2 nm])
654.92535,5.381919186350235e+16
655.34351,5.3851584377546024e+16
655.76166,5.382864248179688e+16
656.17975,5.3871537511270216e+16
656.59784,5.3908831828704776e+16
657.01593,5.381405919054661e+16
657.43402,5.386567607047751e+16
657.85211,5.380207405229864e+16
658.27014,5.3827005257576056e+16
658.68817,5.3784240485347784e+16
659.1062,5.371073886723881e+16
659.52423,5.371810061549443e+16
659.94226,5.37143132080427e+16
660.36023,5.388887602055834e+16
660.7782,5.388993112509245e+16
661.19617,5.3750887859892376e+16
661.61407,5.374105955590021e+16
662.03204,5.372180324608581e+16
662.44995,5.378847867676768e+16
662.86786,5.369425609667312e+16
663.28577,5.380436051266973e+16
663.70361,5.376826564051103e+16
664.12152,5.366363051254048e+16
664.53937,5.358540503728854e+16
664.95721,5.350452492963363e+16
665.375,5.338692991846145e+16
665.79285,5.346063045948526e+16
666.21063,5.342523585145482e+16
666.62842,5.336397621686104e+16
667.0462,5.328601697321587e+16
667.46399,5.330153024106885e+16
667.88171,5.316912832794035e+16
668.29944,5.3061077344634904e+16
668.71716,5.31825924338817e+16
669.13489,5.312833378252053e+16
669.55255,5.2892734794191384e+16
669.97021,5.29334772556259e+16
670.38788,5.290220869862429e+16
670.80554,5.271150803856945e+16
671.22321,5.2618531768366856e+16
671.64081,5.257429497444859e+16
672.05841,5.257228607318293e+16
672.47601,5.246278727772087e+16
672.89355,5.251456664665175e+16
673.31116,5.248005346055151e+16
673.7287,5.251892314093615e+16
674.14624,5.236465840972279e+16
674.56378,5.211767680723957e+16
674.98126,5.2018308895203704e+16
675.39874,5.187099717637269e+16
675.81622,5.190091573714889e+16
676.2337,5.1788992833313976e+16
676.65118,5.170484162720263e+16
677.0686,5.162601138985617e+16
677.48602,5.147745819574453e+16
677.90344,5.134678298428737e+16
678.32086,5.113998720622591e+16
678.73822,5.10689497388386e+16
679.15558,5.099703095895213e+16
679.57294,5.092848181611327e+16
679.9903,5.0956889413285624e+16
680.40759,5.0758574570182536e+16
680.82495,5.052995923813619e+16
681.24225,5.046497713512963e+16
681.65948,5.039667181239574e+16
682.07678,5.025465734175111e+16
682.49402,5.0297786394544296e+16
682.91125,5.0204460183167816e+16
683.32849,5.017617665247611e+16
683.74573,5.004429949896543e+16
684.1629,4.995639943900983e+16
684.58008,4.9815851133372e+16
684.99725,4.971311990002743e+16
685.41437,4.969611016352176e+16
685.83154,4.962663821582481e+16
686.24866,4.942888890549438e+16
686.66577,4.930535787418582e+16
687.08289,4.9185323238333016e+16
687.49994,4.897263055117177e+16
687.91699,4.889657148753573e+16
688.33405,4.874151865377083e+16
688.7511,4.860171443252625e+16
689.16809,4.83829398335557e+16
689.58508,4.816415946361566e+16
690.00208,4.814438991614362e+16
690.41907,4.789320007691141e+16
690.836,4.771336390260561e+16
691.25299,4.753668761229507e+16
691.66992,4.7339955109524936e+16
692.08679,4.708300699645762e+16
692.50372,4.689690536777873e+16
692.92059,4.670866234501249e+16
693.33746,4.648906799639738e+16
693.75433,4.645036235684164e+16
694.17114,4.630364715886682e+16
694.58801,4.6086235593187944e+16
695.00482,4.595857978281003e+16
695.42157,4.581876716798593e+16
695.83838,4.557084133557594e+16
696.25513,4.537781544297412e+16
696.67188,4.5198709441478024e+16
697.08862,4.500699634988878e+16
697.50531,4.496342039252146e+16
697.92206,4.463884148342463e+16
698.33875,4.4593284511878616e+16
698.75537,4.4395956688806456e+16
699.17206,4.426769466121763e+16
699.58868,4.407604798703852e+16
700.00531,4.3790417295700504e+16
700.42194,4.3608947042895624e+16
700.8385,4.357100146886425e+16
701.25513,4.331806605551902e+16
701.67169,4.315898117824487e+16
702.0882,4.290523728457664e+16
702.50476,4.275631534168519e+16
702.92126,4.251653183067944e+16
703.33777,4.228953425117862e+16
703.75427,4.217831456467213e+16
704.17072,4.1988599525791144e+16
704.58716,4.182712370395562e+16
705.0036,4.156346084604113e+16
705.42004,4.133472084614403e+16
705.83643,4.1099688762587816e+16
706.25281,4.094426978406948e+16
706.66919,4.072331102781152e+16
707.08557,4.055208797942455e+16
707.50189,4.041851549754333e+16
707.91821,4.019060902919828e+16
708.33453,3.9993815923929144e+16
708.75085,3.9778040421569816e+16
709.16711,3.961725361736966e+16
709.58337,3.944147757422522e+16
709.99963,3.923002144565988e+16
710.41589,3.910586901588893e+16
710.83209,3.897517525411224e+16
711.24829,3.879233616843475e+16
711.66449,3.8612722675946776e+16
712.08063,3.842744956677298e+16
712.49677,3.825594126454333e+16
712.9129,3.8058208962594216e+16
713.32904,3.787367001704176e+16
713.74512,3.77562409116262e+16
714.16125,3.749529440840129e+16
714.57727,3.736353565827969e+16
714.99335,3.712240955194383e+16
