Wavelength (nm),Spectral photon flux (1/[s m2 nm])
657.01593,4645825271907493.0
657.43402,4592869880207456.0
657.85211,4553474332300535.0
658.27014,4516494265653865.0
658.68817,4503833925813470.0
659.1062,4468288335269704.5
659.52423,4435293997890594.5
659.94226,4409107022942434.0
660.36023,4401737360709980.0
660.7782,4381964392683212.0
661.19617,4350920949946007.5
661.61407,4310378081255964.0
662.03204,4298512074933580.5
662.44995,4293270074636260.5
662.86786,4215558276681808.0
663.28577,4218510364766440.5
663.70361,4231357703494663.0
664.12152,4168606520306264.5
664.53937,4144514240814969.0
664.95721,4113786801955785.5
665.375,4105487599893512.5
665.79285,4110604774727416.5
666.21063,4085171571376866.5
666.62842,4048283315555867.0
667.0462,4031211345152152.5
667.46399,4014967736958068.0
667.88171,3972297740329846.0
668.29944,3984771980517791.5
668.71716,3951104957204420.5
669.13489,3946702864063625.5
669.55255,3944795737052585.0
669.97021,3933199291524406.5
670.38788,3898526329652692.0
670.80554,3882006280733871.5
671.22321,3877553723044212.5
671.64081,3872491009858656.0
672.05841,3851628556766027.5
672.47601,3847265610900805.0
672.89355,3814340514978781.0
673.31116,3822558102312938.5
673.7287,3813464831115352.5
674.14624,3799880783589368.5
674.56378,3756737767361437.5
674.98126,3749605575318104.5
675.39874,3747365696086835.0
675.81622,3727839567593418.0
676.2337,3702904996595434.0
676.65118,3699181507714360.5
677.0686,3672540473316127.5
677.48602,3682440569180089.5
677.90344,3650102156929958.0
678.32086,3629821601275449.0
678.73822,3603784129189990.5
679.15558,3586018811426434.0
679.57294,3577226736849501.0
679.9903,3546771885042431.0
680.40759,3536496554886978.0
680.82495,3512268482065541.0
681.24225,3483387442720618.5
681.65948,3464419596635183.5
682.07678,3473910973706319.5
682.49402,3431588925002329.5
682.91125,3420394134578093.0
683.32849,3385804915309641.0
683.74573,3377635311099544.0
684.1629,3360469200352485.5
684.58008,3324125953158725.0
684.99725,3299947869040581.5
685.41437,3311221953949415.0
685.83154,3270519595377695.0
686.24866,3241171691115695.0
686.66577,3213908476245710.5
687.08289,3195068722382095.0
687.49994,3186940006569105.5
687.91699,3146028889679550.5
688.33405,3101549253678136.0
688.7511,3086140699065293.5
689.16809,3083952625696904.0
689.58508,3041863237988171.5
690.00208,3011834936272226.0
690.41907,2994560835092252.5
690.836,2968729320807990.0
691.25299,2933276585937891.5
691.66992,2913057857193827.5
692.08679,2897889331046512.0
692.50372,2870475098809222.0
692.92059,2832021847876783.5
693.33746,2828939009891917.0
693.75433,2805404855844742.5
694.17114,2798665420604360.5
694.58801,2758402748132676.5
695.00482,2748357388795904.5
695.42157,2736789821878312.0
695.83838,2728407092349614.5
696.25513,2693992613567384.0
696.67188,2669565664273710.0
697.08862,2670332068582026.0
697.50531,2641460639219064.5
697.92206,2639776083299264.5
698.33875,2622076726689901.5
698.75537,2609873539760451.5
699.17206,2582035275867546.5
699.58868,2576572446354905.0
700.00531,2556730853729607.0
700.42194,2551943427283815.0
700.8385,2555534434994058.0
701.25513,2519816228627640.5
701.67169,2522185318850141.5
702.0882,2490105798465269.5
702.50476,2493331347404352.0
702.92126,2467595748733388.5
703.33777,2458153570763385.0
703.75427,2437422068321286.5
704.17072,2424961585378379.5
704.58716,2426721802203052.0
705.0036,2413151656726995.0
705.42004,2397246879424245.5
705.83643,2377771883046873.5
706.25281,2354626613854647.0
706.66919,2354394259503495.0
707.08557,2341103001934208.5
707.50189,2339329367916510.0
707.91821,2306357498091651.5
708.33453,2298521607660212.0
708.75085,2270997512187579.0
709.16711,2254898470100926.0
709.58337,2238486695901574.8
709.99963,2223310928601729.2
710.41589,2218845857760551.0
710.83209,2185323593802203.2
711.24829,2189566660560763.2
711.66449,2182014798472415.5
712.08063,2139639658928509.8
712.49677,2153136378107659.8
712.9129,2120251076045987.5
713.32904,2108942106508988.5
713.74512,2104735766867557.8
714.16125,2085306352541365.5
714.57727,2066196066762839.0
714.99335,2057803564332602.5
715.40936,2040392172809195.8
715.82538,2014835705648082.5
716.24139,1994994266174321.2
716.65741,1959678532269263.5
717.07336,1968870533356214.5
717.48932,1946881575119931.0
717.90527,1926656746457232.5
718.32117,1900804054391168.2
718.73712,1896372690071435.2
719.15302,1880215269932776.0
719.56885,1859239866539147.5
719.98474,1844970042665992.2
720.40057,1839665177571107.0
720.81641,1824469283387755.0
721.23218,1792923987169701.8
721.64801,1787388792600881.5
722.06378,1767552092031020.2
722.47949,1758871139852602.5
722.89526,1726941215716635.8
723.31097,1726327394726012.0
723.72668,1712595568991112.0
724.1424,1716488194155605.5
724.55804,1684645185191092.0
724.97369,1674207099156381.2
725.38934,1669950430226849.0
725.80499,1658489473714046.2
726.22058,1647532684477220.2
726.63617,1630537683105316.0
727.05176,1632149227450572.2
727.46729,1607158079370836.0
727.88281,1594870289321789.5
728.29834,1588893639310892.5
728.71387,1580483286060260.2
729.12933,1571306684302290.2
729.5448,1540198692490097.8
729.96027,1550100712048496.2
730.37567,1524504387199996.5
730.79114,1514192280500908.5
731.20648,1508605082150820.5
731.62189,1489985961314740.5
732.03723,1478379888891034.2
732.45264,1473907177813573.5
732.86792,1455489178120866.0
733.28326,1437316381091287.0
733.69855,1441788550383462.5
734.11383,1411342438482315.8
734.52911,1395409188661358.2
734.94434,1416274880216593.0
735.35956,1390054991856130.0
735.77478,1364546117887534.0
736.18994,1354746078143027.0
736.60516,1350118166894146.8
737.02032,1332504846308768.8
737.43542,1329879408644038.8
737.85059,1314435528160896.0
738.26569,1311336103763130.2
738.68079,1288687991978545.8
739.09583,1292943534517419.5
739.51086,1268199111944339.5
739.9259,1258658112965784.0
740.34094,1264161520906741.8
740.75592,1262593594464953.8
741.1709,1255800048126005.5
741.58588,1251061979655970.2
742.00079,1246132640277987.8
742.41577,1249450280277232.8
742.83069,1221614139490963.2
743.24554,1229241442298367.0
743.6604,1224249687687023.0
744.07526,1206898157158760.0
744.49011,1206656570900601.5
744.90497,1191984026955997.0
745.31976,1187170613667314.5
745.7345,1182962202212811.8
746.14929,1168144627584082.5
746.56403,1167305827228555.8
746.97876,1170964505819701.8
747.39349,1158325999726935.0
747.80817,1150677629340530.5
748.22284,1136390370766905.5
748.63751,1113493097240607.0
749.05212,1129198207904024.0
749.4668,1098033306454697.5
749.88135,1098950245690529.5
750.29596,1079380250125681.4
750.71051,1080898498060751.5
751.12506,1065381321951026.4
751.53961,1052427263436183.1
751.9541,1051695394037282.4
752.36859,1036294709894936.2
752.78308,1037254362407674.9
753.19751,1028766492771470.6
753.612,1033525258090405.2
754.02637,1008062682616724.1
754.4408,1007405809415543.4
754.85516,983211633924841.1
755.26953,979309461187743.5
755.6839,972215186936974.6
756.09821,965016700152485.4
756.51251,968096617875061.1
756.92682,953854648573287.8
757.34106,937292601620753.1
757.75531,923197598199348.6
758.16956,931300705588641.5
758.5838,917712728260909.9
758.99799,904979181573053.6
759.41217,899026366428725.2
759.82629,899270056400253.5
760.24048,886775954761372.9
760.65454,872760146479793.5
761.06866,857308357260534.9
761.48273,869210646920265.8
761.89679,852938623344247.1
762.31085,848981376308480.2
762.72491,825990975887669.4
763.13892,829198838849563.6
763.55286,833431897615201.9
763.96686,822678306615829.4
764.3808,814931963505788.1
764.79474,810725640477478.0
765.20862,826080889409507.6
765.62256,806423564263021.9
766.03644,802535535523058.1
766.45026,794831361070984.6
766.86407,785230182513812.2
767.27789,788883810396791.0
767.69171,786229454982857.8
768.10547,777793055624262.4
768.51923,775155652454710.5
768.93298,765303720325152.9
769.34668,760431961413285.2
769.76038,749564482177020.2
770.17407,750443314285636.5
770.58777,751841136972786.9
771.0014,737870461096711.4
771.41498,733017794729017.2
771.82861,731947481058609.4
772.24219,723967987389945.9
772.65576,716119948292477.5
773.06927,714522995363949.9
773.48285,710509812922409.2
773.8963,706119515745084.9
774.30981,701114010820553.0
774.72327,692829497087152.4
775.13672,685623938595298.1
775.55017,682354814477853.2
775.96356,669731638587149.0
776.37695,671247702220865.1
776.79028,669467955628105.5
777.20367,662749443880314.2
777.617,648882780605182.4
778.03027,649028879337589.9
778.4436,652033022911173.4
778.85687,654341519508087.5
779.27008,628664627016790.5
779.68335,626103836722606.9
780.09656,625216724966533.0
780.5097,618025790918008.4
780.92291,611464965477791.1
781.33606,613114858636458.9
781.74915,609871326605289.8
782.16229,605412031062019.6
782.57538,592701315868142.4
782.9884,592370938493242.5
783.40149,583201097150008.8
783.81451,586074648535996.9
784.22748,579582251908656.2
784.6405,566241161815234.8
785.05347,568535112872578.2
785.46643,563376226189418.8
785.87933,554954343581493.56
786.29224,562223883826954.9
786.70514,552950879823965.2
787.11798,556298794241458.75
787.53082,555137667891234.9
787.94366,538242163935849.06
788.35645,539697797427912.4
788.76923,540652849915295.5
789.18201,526284155098274.94
789.59473,525319148570631.1
790.00745,535030602726470.7
790.42017,525663393088503.2
790.83282,516017645891651.4
791.24554,507411611193622.4
791.65814,506660102147877.94
792.0708,509141799702223.56
792.4834,501517307574718.25
792.89594,493463717346734.75
793.30853,499609060653033.94
793.72107,498230317541031.4
794.13354,474963396525438.56
794.54608,476218999565298.4
794.9585,490003529237669.1
795.37097,483557781202762.4
795.78339,474062814617694.2
796.1958,469364852941533.4
796.60822,470605445491713.56
797.02057,469204094863955.9
797.43292,458535529917449.8
797.84528,461415123789170.6
798.25757,449797520728621.94
798.66986,445242176708559.06
799.08209,449138617945451.25
