Wavelength (nm),Spectral photon flux (1/[s m2 nm])
666.62842,2.109458058647928e+16
667.0462,2.1102412703950104e+16
667.46399,2.1017133617461084e+16
667.88171,2.1030576475518164e+16
668.29944,2.086286166326864e+16
668.71716,2.0880423691933476e+16
669.13489,2.084697512769283e+16
669.55255,2.0798996926793984e+16
669.97021,2.078994040103333e+16
670.38788,2.0731058831653464e+16
670.80554,2.0588249804933436e+16
671.22321,2.0492144788126452e+16
671.64081,2.050979437436185e+16
672.05841,2.050409653570941e+16
672.47601,2.044085314709562e+16
672.89355,2.0389906264495252e+16
673.31116,2.035109547364364e+16
673.7287,2.0318933171959424e+16
674.14624,2.025861903115964e+16
674.56378,2.013809084050671e+16
674.98126,2.006822702608415e+16
675.39874,1.9968343645206316e+16
675.81622,1.9971918407185996e+16
676.2337,1.991702084977063e+16
676.65118,1.9842307204451576e+16
677.0686,1.975598327231267e+16
677.48602,1.9686427086027812e+16
677.90344,1.9601497715652748e+16
678.32086,1.9530921057059256e+16
678.73822,1.9488905505448644e+16
679.15558,1.940479572669489e+16
679.57294,1.9302228168757012e+16
679.9903,1.9291368533163172e+16
680.40759,1.922769353895279e+16
680.82495,1.912783706568721e+16
681.24225,1.907304311737889e+16
681.65948,1.901028254040527e+16
682.07678,1.9004124423592732e+16
682.49402,1.894299379192557e+16
682.91125,1.888287687263485e+16
683.32849,1.8862087930700748e+16
683.74573,1.881936023217019e+16
684.1629,1.8710764371500852e+16
684.58008,1.8626152061169292e+16
684.99725,1.8644483153187164e+16
685.41437,1.857722784158148e+16
685.83154,1.8551402268260064e+16
686.24866,1.8465167107748476e+16
686.66577,1.8380354030392404e+16
687.08289,1.8318568495807896e+16
687.49994,1.82589052143813e+16
687.91699,1.817220646033673e+16
688.33405,1.811353712907453e+16
688.7511,1.8024774076820948e+16
689.16809,1.79664161320433e+16
689.58508,1.786245880907463e+16
690.00208,1.7827472701732162e+16
690.41907,1.7756227576291374e+16
690.836,1.7636566435775752e+16
691.25299,1.7546173201642836e+16
691.66992,1.750373010824712e+16
692.08679,1.7388965437983394e+16
692.50372,1.7297180561706806e+16
692.92059,1.7222253537934514e+16
693.33746,1.718300258851695e+16
693.75433,1.7094856493212662e+16
694.17114,1.7016675720102626e+16
694.58801,1.6960821763007804e+16
695.00482,1.689572903143798e+16
695.42157,1.684224796414517e+16
695.83838,1.6700827436726762e+16
696.25513,1.6626634532306176e+16
696.67188,1.6570483425114676e+16
697.08862,1.6512607256984082e+16
697.50531,1.6413386222866624e+16
697.92206,1.6361910973002852e+16
698.33875,1.627115301917693e+16
698.75537,1.6234594602408208e+16
699.17206,1.610447614777536e+16
699.58868,1.6002678272273214e+16
700.00531,1.596354581330631e+16
700.42194,1.5866405228757882e+16
700.8385,1.5815110420770688e+16
701.25513,1.5714718307622096e+16
701.67169,1.562208122033928e+16
702.0882,1.552258497786841e+16
702.50476,1.545094138597024e+16
702.92126,1.5384810495989972e+16
703.33777,1.5276295608737802e+16
703.75427,1.5153796523328256e+16
704.17072,1.5098462173580504e+16
704.58716,1.5027276802989628e+16
705.0036,1.4911153548748346e+16
705.42004,1.4805800518187558e+16
705.83643,1.469405878840898e+16
706.25281,1.4657463806023318e+16
706.66919,1.4586922478175258e+16
707.08557,1.4467846743579348e+16
707.50189,1.4371517311550594e+16
707.91821,1.4296410148923362e+16
708.33453,1.421046463628047e+16
708.75085,1.4107388066515062e+16
709.16711,1.4041766009352626e+16
709.58337,1.3966038519060216e+16
709.99963,1.3879207981328946e+16
710.41589,1.3832605034806124e+16
710.83209,1.3788495839218688e+16
711.24829,1.3664547557402918e+16
711.66449,1.3609603625199114e+16
712.08063,1.3509860943379576e+16
712.49677,1.3483385626349928e+16
712.9129,1.3379989446610502e+16
713.32904,1.328935369117482e+16
713.74512,1.3263170723675126e+16
714.16125,1.319454576963957e+16
714.57727,1.3060752573992986e+16
714.99335,1.3005536283572982e+16
715.40936,1.2890860432301044e+16
715.82538,1.2832142932016176e+16
716.24139,1.2716505095334218e+16
716.65741,1.2707847014322086e+16
717.07336,1.2596049241749986e+16
717.48932,1.2540784044396738e+16
717.90527,1.245788068016608e+16
718.32117,1.236613335916999e+16
718.73712,1.2261954769445976e+16
719.15302,1.2302968981461526e+16
719.56885,1.2174346613636582e+16
719.98474,1.2116598298921126e+16
720.40057,1.2081868662274328e+16
720.81641,1.201290527147892e+16
721.23218,1.1959131098415958e+16
721.64801,1.187070268054639e+16
722.06378,1.1781446959459524e+16
722.47949,1.1696995746694688e+16
722.89526,1.1725384456905382e+16
723.31097,1.1608814589298954e+16
723.72668,1.1585160995961264e+16
724.1424,1.1539845227964292e+16
724.55804,1.149904357327046e+16
724.97369,1.1397919406697942e+16
